NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3368;848;lubuskie;08100 Żagań;0810 żagański;Niegosławice;Zimna Brzeźnica, obw. 202;objęty ograniczeniami;51.650935;15.831998;32;03.10.2020;05.10.2020;12.10.2020;P/20/45768;RT-PCR+;1;odstrzelony;samica - 24 m -36 kg;1;0;0;0
3369;849;lubuskie;08100 Żagań;0810 żagański;Brzeźnica;Chotków - Wichów;objęty ograniczeniami;51.72606;15.47177;32;06.10.2020;06.10.2020;12.10.2020;P/20/45770;RT-PCR+;1;padły/padłe;samiec - 48 m -100 kg;0;1;0;0
3370;850;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.89306;15.40884;32;03.10.2020;07.10.2020;12.10.2020;P/20/45769;RT-PCR+;1;padły/padłe;1. samica - 48 m - 80 kg;1;0;0;0
3371;851;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Małaszowice;zagrożenia;51.698469;15.80228;32;02.10.2020;06.10.2020;13.10.2020;P/20/45986;RT-PCR+;1;odstrzelony;samiec - 60mcy, 100kg;0;1;0;0
3372;852;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Małaszowice;zagrożenia;51.706921;15.774528;32;04.10.2020;06.10.2020;13.10.2020;P/20/45767;RT-PCR+;4;padły/padłe;"1.nieokreslone,nieokreslone, 20 kg. 2.nieokreslone,nieokreslone, 20 kg.3.nieokreslone,nieokreslone, 10 kg. 4.nieokreslone,nieokreslone, 30 kg.";0;4;0;0
3373;103;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Sosnowik;objęty ograniczeniami;53.239;23.6216;32;06.10.2020;06.10.2020;15.10.2020;P/20/46343;IPT+;1;odstrzelony;samica - 1 rok, 25 kg;0;0;0;0
3374;46;dolnośląskie;02030 Głogów;0203 głogowski;Głogów;Wróblin Głogowski;zagrożenia;51.698006;15.948576;32;05.10.2020;06.10.2020;15.10.2020;P/20/46342;ELISA+IPT+;1;odstrzelony;1. samica - 36 m - 32 kg;0;0;0;0
3375;1194/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Stare Juchy;Grabnik;objęty ograniczeniami;53.871596;22.211095;32;06.10.2020;08.10.2020;15.10.2020;P/20/46353;IPT+;1;odstrzelony;"samica - 12 m - 46 kg"
3376;1195/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Ełk;Bajtkowo;zagrożenia;53.734152;22.271933;32;05.10.2020;08.10.2020;15.10.2020;P/20/46346;IPT+;1;odstrzelony;"samiec - 12 m - 40 kg"
3377;1196/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Ełk;Bajtkowo;zagrożenia;53.734152;22.271933;32;05.10.2020;08.10.2020;15.10.2020;P/20/46346;IPT+;1;odstrzelony;"samica - 24 m - 90 kg"
3378;1197/2020;warmińsko-mazurskie;28020 Braniewo;2802 braniewski;Frombork;Nowiny;objęty ograniczeniami;54.324722;19.6725;32;04.10.2020;06.10.2020;15.10.2020;P/20/46344;IPT+;1;odstrzelony;samiec - 3 lata,65 kg;;;;
3379;1198/2020;warmińsko-mazurskie;28020 Braniewo;2802 braniewski;Płoskinia;Dąbrowa;objęty ograniczeniami;54.259722;19.889167;32;07.10.2020;09.10.2020;15.10.2020;P/20/46344;IPT+;1;odstrzelony;samiec - 3 lata,60 kg;;;;
3380;1199/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Maronie;zagrożenia;53.8344;20.1058;32;28.09.2020;06.10.2020;15.10.2020;P/20/46368;IPT+;1;odstrzelony;samiec - 12 m - 20 kg;0;0;0;0
3381;1200/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Orzechowo;zagrożenia;53.9638;20.5561;32;28.09.2020;06.10.2020;15.10.2020;P/20/46368;IPT+;1;odstrzelony;samica - 36 m - 75 kg;;;;
3382;1201/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Świątki;Różynka;zagrożenia;53.9003;20.3145;32;02.10.2020;06.10.2020;15.10.2020;P/20/46368;IPT+;1;odstrzelony;samiec - 36 m - 70 kg;;;;
3383;1202/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Biskupiec;Biesówko;objęty ograniczeniami;53.9588;20.8767;32;03.10.2020;06.10.2020;15.10.2020;P/20/46345;IPT+;1;odstrzelony;samiec - 36 m - 80 kg;;;;
