NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3293;198;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Nowiny Horynieckie;zagrożenia;50.2259;23.3779;30;24.09.2020;29.09.2020;01.10.2020;P/20/43856;RT-PCR+;1;padły/padłe;1. samica - 7 m - 15 kg;;1;;;
3294;199;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Dziewięcierz;zagrożenia;50.2203;23.4764;30;26.09.2020;29.09.2020;01.10.2020;P/20/43856;RT-PCR+;1;padły/padłe;1. samica - 6 m - 6 kg;1
3295;637;lubelskie;06010 Biała Podlaska;0601 bialski;Zalesie;Wólka Dobryńska ;objęty ograniczeniami;52.04194444;23.48897222;32;07.09.2020;09.09.2020;11.09.2020;P/20/39734;RT-PCR+;1;padły/padłe;samiec - 36 m - 80 kg;0;1;0;0;
3296;638;lubelskie;06080 Lubartów;0608 lubartowski;Jeziorzany;Przytoczno;zagrożenia;51.618182;22.289414;32;20.09.2020;21.09.2020;24.09.2020;P/20/42458;RT-PCR+;1;padły/padłe;samica - 24 m - 40 kg;0;0;1;0;
3297;639;lubelskie;06080 Lubartów;0608 lubartowski;Michów;Michów;zagrożenia;51.538218;22.324721;32;22.09.2020;23.09.2020;25.09.2020;P/20/42774;RT-PCR+;1;padły/padłe;samica - 48 m - 100 kg;1;0;0;0;
3298;640;lubelskie;06130 Parczew;0613 parczewski;Sosnowica;Lejno;objęty ograniczeniami;51.459005;23.044652;32;03.09.2020;07.09.2020;12.09.2020;P/20/40008;ELISA+IPT+;1;odstrzelony;samiec - 36 m - 70 kg;0;0;0;0;
3299;641;lubelskie;06140 Puławy;0614 puławski;Puławy;Puławy;objęty ograniczeniami;51.382713;22.01033;32;08.09.2020;10.09.2020;14.09.2020;P/20/39997;RT-PCR+;1;padły/padłe;samiec - 36 m - 70 kg;1;0;0;0;
3300;642;lubelskie;06140 Puławy;0614 puławski;Kurów;Łąkoć;objęty ograniczeniami;51.436871;22.234315;32;11.09.2020;14.09.2020;16.09.2020;P/20/40872;RT-PCR+;1;padły/padłe;samiec - 24 m - 80 kg;1;0;0;0;
3301;643;lubelskie;06030 Chełm;0603 chełmski;Sawin;Sajczyce;objęty ograniczeniami;51.2542;23.4581;32;10.09.2020;14.09.2020;16.09.2020;P/20/40880;ELISA+IPT+;1;odstrzelony;samica - 36 m - 50 kg;0;0;0;0;
3302;644;lubelskie;06030 Chełm;0603 chełmski;Siedliszcze;Lipówki;zagrożenia;51.1558;23.1454;32;17.09.2020;21.09.2020;23.09.2020;P/20/42229;ELISA+IPT+;1;odstrzelony;samica - 24 m - 60 kg;0;0;0;0;
3303;645;lubelskie;06170 Świdnik;0617 świdnicki (lubelski);Rybczewice;Wygnanowice;objęty ograniczeniami;51.074373;22.840607;32;06.09.2020;08.09.2020;11.09.2020;P/20/39735;RT-PCR+;1;padły/padłe;b.d.;0;0;0;1;
3304;646;lubelskie;06160 Ryki;0616 rycki;Stężyca;Stężyca;objęty ograniczeniami;51.573163;21.750056;32;21.09.2020;21.09.2020;24.09.2020;P/20/42459;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;0;1;0;0;
3305;647;lubelskie;06040 Hrubieszów;0604 hrubieszowski;Hrubieszów;Dziekanów;zagrożenia;50.8511;23.9103;32;10.09.2020;15.09.2020;22.09.2020;P/20/41944;RT-PCR+;1;padły/padłe;samiec - 6 m - 10 kg;0;1;0;0;
3306;648;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tereszpol;Lipowiec;zagrożenia;50.6359;22.873;32;21.09.2020;22.09.2020;25.09.2020;P/20/42678;ELISA+IPT+;1;odstrzelony;samiec - 36 m - 60 kg;0;0;0;0;
3307;649;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Siedliska;zagrożenia;50.264;23.5342;30;10.09.2020;10.09.2020;22.09.2020;P/20/41939;RT-PCR+;1;padły/padłe;samiec - 24 m - 70 kg;0;0;1;0;
3308;650;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Siedliska;zagrożenia;50.264;23.535;30;10.09.2020;10.09.2020;22.09.2020;P/20/41939;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;0;0;1;0;
3309;651;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Siedliska;zagrożenia;50.266;23.533;30;08.09.2020;10.09.2020;22.09.2020;P/20/41940;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;1;0;0;0;
3310;652;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Siedliska;zagrożenia;50.2624;23.5675;32;14.09.2020;21.09.2020;26.09.2020;P/20/42875;"RT-PCR+ELISA+IPT+";1;odstrzelony;samica - 24 m - 45 kg;0;0;0;0;
3311;653;lubelskie;06200 Zamość;0620 zamojski;Szczebrzeszyn;Lipowiec;zagrożenia;50.655;23.0233;30;08.09.2020;09.09.2020;12.09.2020;P/20/40052;RT-PCR+;1;padły/padłe;samica - 36 m - 80 kg;1;0;0;0;
3312;654;lubelskie;06200 Zamość;0620 zamojski;Sitno;Kornelówka;zagrożenia;50.7788;23.3563;32;31.08.2020;09.09.2020;12.09.2020;P/20/40013;ELISA+IPT+;1;odstrzelony;samica - 18-m - 40 kg;0;0;0;0;
3313;655;lubelskie;06200 Zamość;0620 zamojski;Zamość;Wólka Wieprzecka;zagrożenia;50.646;23.089;32;01.09.2020;08.09.2020;12.09.2020;P/20/40013;RT-PCR+;1;odstrzelony;samiec - 18-m - 50 kg;0;0;0;0;
3314;656;lubelskie;06200 Zamość;0620 zamojski;Szczebrzeszyn;Szczebrzeszyn;zagrożenia;50.6849;22.971;32;01.09.2020;08.09.2020;12.09.2020;P/20/40013;ELISA+IPT+;1;odstrzelony;samica - 36 m - 80 kg;0;0;0;0;
3315;657;lubelskie;06200 Zamość;0620 zamojski;Szczebrzeszyn;Kawęczyn;zagrożenia;50.6793;22.9425;32;11.09.2020;15.09.2020;21.09.2020;P/20/41879;ELISA+IPT+;1;odstrzelony;samiec - 36 m - 80 kg;0;0;0;0;
3316;658;lubelskie;06200 Zamość;0620 zamojski;Sitno;Sitno;zagrożenia;50.7766;23.3618;32;20.09.2020;22.09.2020;26.09.2020;P/20/42877;ELISA+IPT+;1;odstrzelony;samica - 24 m - 50 kg;0;0;0;0;
3317;659;lubelskie;06200 Zamość;0620 zamojski;Sitno;Kornelówka;zagrożenia;50.7766;23.36;32;20.09.2020;22.09.2020;26.09.2020;P/20/42877;ELISA+IPT+;1;odstrzelony;samica - 24 m - 50 kg;0;0;0;0;
3318;660;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Turzyniec;zagrożenia;50.6335;22.9443;32;14.09.2020;22.09.2020;26.09.2020;P/20/42877;ELISA+IPT+;1;odstrzelony;samica - 24 m - 55 kg;0;0;0;0;
3319;661;lubelskie;06080 Lubartów;0608 lubartowski;Jeziorzany;Przytoczno;zagrożenia;51.6231;22.2883;32;25.09.2020;28.09.2020;01.10.2020;P/20/43794;RT-PCR+;1;padły/padłe;samiec - 36 m - 70 kg;0;0;1;0;
3320;662;lubelskie;06020 Biłgoraj;0602 biłgorajski;Frampol;Smoryń;zagrożenia;50.6724;22.794;32;25.09.2020;28.09.2020;01.10.2020;P/20/43795;RT-PCR+;1;padły/padłe;b.d.;0;0;0;1;
3321;100;podlaskie;20110 Sokółka;2011 sokólski;Krynki;Jurowlany;objęty ograniczeniami;53.318;23.76833;32;23.09.2020;24.09.2020;02.10.2020;P/20/43999;RT-PCR+;1;odstrzelony;samica - do 1 roku,20 kg;0;0;0;0;
3322;101;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Lipowy Most;objęty ograniczeniami;53.2148;23.53013;32;22.09.2020;24.09.2020;02.10.2020;P/20/43999;RT-PCR+;1;odstrzelony;samica - do 1 roku,20 kg;0;0;0;0;
3323;1175/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Zawroty;zagrożenia;53.847194;19.984120;30;18.09.2020;22.09.2020;02.10.2020;P/20/44002;RT-PCR+;1;padły/padłe;1.nieokreślona, 12 m - 20 kg ;0;0;1;0;
3324;1176/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Idzbark;objęty ograniczeniami;53.6755091;20.0863941;30;21.09.2020;22.09.2020;02.10.2020;P/20/44001;RT-PCR+;1;padły/padłe;1.samica - 8 m - 19 kg  ;0;1;0;0;
3325;102;podlaskie;20100 Siemiatycze;2010 siemiatycki;Nurzec Stacja;Tokary;objęty ograniczeniami;52.394658;23.276568;32;24.09.2020;24.09.2020;02.10.2020;P/20/44035;IPT+;1;odstrzelony;samiec - 36m - 92kg;0;0;0;0;
3326;1177/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Białka;zagrożenia;53.827944;19.970611;30;24.09.2020;25.09.2020;02.10.2020;P/20/44002;RT-PCR+;1;padły/padłe;1. samica - 12 m - 12 kg;0;1;0;0;
3327;1178/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Warlity Wielkie;zagrożenia;53.738262;20.005082;32;14.09.2020;22.09.2020;02.10.2020;P/20/44003;RT-PCR+;1;odstrzelony;1.samica - 36 m - 65 kg  ;0;0;0;0;
3328;1179/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Stawiguda;Gągławki;zagrożenia;53.6852;20.4599;30;18.09.2020;22.09.2020;02.10.2020;P/20/44000;RT-PCR+;1;padły/padłe;samica - 8 m - 50 kg;1
3329;1180/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Stawiguda;Ruś;zagrożenia;53.6883;20.5015;32;15.09.2020;22.09.2020;02.10.2020;P/20/44000;RT-PCR+;1;padły/padłe;nieokreślona, 50 kg;;1;;;
3330;663;lubelskie;06060 Krasnystaw;0606 krasnostawski;Kraśniczyn;Bończa;zagrożenia;50.9103;23.455;32;04.09.2020;09.09.2020;14.09.2020;P/20/39951;ELISA+IPT+;1;odstrzelony;samica - 18 m - 50 kg;0;0;0;0;35
3331;1181/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bartoszyce;Czerwona Górka;zagrożenia;54.210827;20.858603;32;23.09.2020;24.09.2020;02.10.2020;P/20/44026;IPT+;1;odstrzelony;samiec -4 lata,80 kg;
3332;1182/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Olecko;Dąbrowskie osada;zagrożenia;54.070083;22.553750;32;23.09.2020;24.09.2020;02.10.2020;P/20/43998;RT-PCR+;1;odstrzelony;Samiec, 12 m - 30 kg;
3333;830;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Podbrzezie dolne;zagrożenia;51.767516;15.578523;32;23.09.2020;25.09.2020;02.10.2020;P/20/44004;RT-PCR+;1;padły/padłe;samica - 24mcy,40kg;0;0;1;0;
3334;831;lubelskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Bulin ;objęty ograniczeniami;51.7231;15.52026;32;25.09.2020;28.09.2020;02.10.2020;P/20/44006;RT-PCR+;1;padły/padłe;samiec - 12mcy, 40kg;1;0;0;0;
3335;832;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Królikowice;zagrożenia;51.711129;15.777832;32;29.09.2020;30.09.2020;05.10.2020;P/20/44269;RT-PCR+;1;padły/padłe;samiec - 36mcy,70kg;1;0;0;0;
3336;833;lubuskie;08080 Świebodzin;0808 świebodziński;Lubrza;Zagórze;objęty ograniczeniami;52.256944;15.344444;32;25.09.2020;28.09.2020;02.10.2020;P/20/44005;RT-PCR+;1;padły/padłe;nn,24m -40 kg;0;0;1;0;
3337;834;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Dobra;zagrożenia;51.916619;15.31051;32;27.09.2020;28.09.2020;02.10.2020;P/20/44007;RT-PCR+;1;odstrzelony z objawami;1. samica - 24- m - 45 kg;1;0;0;0;
3338;835;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Gubin;Chlebowo;objęty ograniczeniami;52.05542;14.869017;32;28.09.2020;30.09.2020;05.10.2020;P/20/44267;RT-PCR+;1;padły/padłe;samiec/8m-cy/20 kg;1;0;0;0;
3339;836;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Krosno Odrzańskie;Struga;zagrożenia;52.092085;15.138744;32;28.09.2020;30.09.2020;05.10.2020;P/20/44268;RT-PCR+;1;padły/padłe;samiec/24m-ce/50 kg;1;0;0;0;
3340;837;lubuskie;08080 Świebodzin;0808 świebodziński;Świebodzin;Przygubiel;objęty ograniczeniami;52.183479;15.654373;32;28.09.2020;30.09.2020;05.10.2020;P/20/44270;RT-PCR+;1;padły/padłe;samica -24 m - 40 kg;0;1;0;0;
