NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3414;2220/159;mazowieckie;14030 Garwolin;1403 garwoliński;Pilawa;Trąbki;objęty ograniczeniami;51.956503;21.608785;32;16.10.2020;19.10.2020;22.10.2020;P/20/47765;ELISA+IPT+;1;odstrzelony;1. samica - 24 m - 45 kg;0;0;0;0
3415;1208/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Miłomłyn;Tarda;zagrożenia;53.775453;19.915613;32;11.10.2020;13.10.2020;22.10.2020;P/20/47479;RT-PCR+;1;odstrzelony;samica - 24 m - 62 kg;;;;
3416;1209/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Puchówka;zagrożenia;53.926114;22.594433;32;11.10.2020;12.10.2020;22.10.2020;P/20/47478;RT-PCR+;1;odstrzelony z objawami;samica - 8 m - 16 kg;;;;
3417;1210/2020;warmińsko-mazurskie;28160 Pisz;2816 piski;Ruciane Nida;okolice Popielna;objęty ograniczeniami;53.731389;21.620833;32;14.10.2020;15.10.2020;22.10.2020;P/20/47476;RT-PCR+;1;odstrzelony;samica -3lata,64 kg;;;;
3418;1211/2020;warmińsko-mazurskie;28090 Lidzbark Warmiński;2809 lidzbarski;Kiwity;Rejsy;zagrożenia;54.149668;20.727596;32;06.10.2020;12.10.2020;22.10.2020;P/20/47481;IPT+;1;odstrzelony;1.samiec - 36m , 100 kg,
3419;1212/2020;warmińsko-mazurskie;28080 Kętrzyn;2808 kętrzyński;Reszel;Pasterzewo;objęty ograniczeniami;53.99076;21.19011;32;07.10.2020;12.10.2020;22.10.2020;P/20/47480;IPT+;1;odstrzelony;"1. płeć samica - 36 m - 87 kg"
3420;1213/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Pasłęk;Borzynowo;objęty ograniczeniami;54.141086;19.657421;30;09.10.2020;13.10.2020;22.10.2020;P/20/47486;RT-PCR+;3;padły/padłe;1. nn, 18 m - 50 kg                   2. nn, 12 m - 30 kg                    3. nn, 12 m - 30 kg       3
3421;113;lubuskie;08120 Sława;0812 wschowski;Sława;Przydroże;objęty ograniczeniami;51.816389;16.095278;32;27.01.2020;27.01.2020;29.01.2020;P/20/04257;RT-PCR+;1;padły/padłe;samiec - 3-4 lata, 80 kg1
3422;114;lubuskie;08120 Sława;0812 wschowski;Sława;Lubiatów;objęty ograniczeniami;51.911667;16.020833;32;24.01.2020;24.01.2020;28.01.2020;P/20/04092, P/20/04094, P/20/04095, P/20/04261, P/20/04277, P/20/04279, P/20/04280, P/20/04285, P/20/04286, P/20/04287, P/20/04288, P/20/04289, P/20/04290, P/20/04291, P/20/04257;RT-PCR+;15;padły/padłe;"1. locha, 50 kg, 3 lata 2,3,4.locha, 40 kg, 2 lata 5,6. nieokreślona 2 lata, 30 kg 7,8,9. samiec - 2 lata, 40 kg 10. 2 lata, 45 kg, samica 11. 2 lata, 50 kg, samiec 12. samica - 4 lata, 80 kg 13. 2 lata, samiec - 35 kg  14. 4 lata, samica - 60 kg  15. samiec - 4 lata, 80 kg ";5;10;;
3423;154;lubuskie;08090 Zielona Góra;0809 zielonogórski;Świdnica;Świdnica;objęty ograniczeniami;51.90226 ;15.41059;32;05.02.2020;05.02.2020;07.02.2020;P/20/05831;RT-PCR+;1;padły/padłe;samiec - 6 m - 10 kg;1;;;
3424;194;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Krynice;Dzierążnia;objęty ograniczeniami;50.555222;23.463194;30;06.02.2020;10.02.2020;17.02.2020;P/20/07216 ;RT-PCR+;2;padły/padłe;"1. samica - 2 lata, 45 kg 2. samiec - 2 lata, 40 kg";;2;;
3425;224;lubelskie;06110 Łuków;0611 łukowski;Łuków;Krynka;objęty ograniczeniami;51.9966 ;22.3571;30;18.02.2020;19.02.2020;21.02.2020;P/20/08079  ;RT-PCR+;1;padły/padłe;samiec - 35 kg;;1;;
3426;12;podlaskie;20020 Białystok;2002 białostocki;Poświętne;Pietkowo;zagrożenia;52.891944;22.899167;32;08.01.2020;08.01.2020;15.01.2020;P/20/01994;RT-PCR+;1;padły/padłe;samiec - 65 kg 2 lata;1;;;
3427;13;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Wyszki;Bujnowo;zagrożenia;52.765;22.9425;32;07.01.2020;07.01.2020;15.01.2020;  P/20/01995;RT-PCR+;1;odstrzelony;samica - 1 rok, 60 kg;;;;
3428;14;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Rudka;Rudka;objęty ograniczeniami;52.740556;22.741667;32;07.01.2020;07.01.2020;15.01.2020;P/20/01993;ELISA+IPT+;1;odstrzelony;samiec - 10 m - 30 kg;;;;
3429;39;podlaskie;20100 Siemiatycze;2010 siemiatycki;Grodzisk;Koryciny;objęty ograniczeniami;52.6414;22.7372;30;14.02.2020;14.02.2020;24.02.2020;P/20/08386;RT-PCR+;1;padły/padłe;samica - 3 lata, 90 kg;;;;
3430;867;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Bojadła;Młynkowo;objęty ograniczeniami;51.89133;15.77977;32;07.10.2020;12.10.2020;20.10.2020;P/20/47143;RT-PCR+;1;odstrzelony;1. samiec - 24 m - 55 kg;1;0;0;0
3431;868;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Wysokie;zagrożenia;52.019;15.452;32;07.10.2020;12.10.2020;20.10.2020;P/20/47128;RT-PCR+;1;odstrzelony;1. samica - 12 m - 35kg;1;0;0;0
3432;1214/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Świątki;Skolity;zagrożenia;53.8929;20.2174;32;07.10.2020;14.10.2020;22.10.2020;P/20/47484;RT-PCR+;1;padły/padłe;samiec - 8 m - 30 kg;;1;;
3433;1215/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Gietrzwałd;zagrożenia;53.7520;20.2390;32;12.10.2020;14.10.2020;22.10.2020;P/20/47484;RT-PCR+;1;padły/padłe;samica - 9 m - 60 kg;;1;;
