NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3080;2210/149;mazowieckie;14030 Garwolin;1403 garwoliński;Sobolew;Kobusy;zagrożenia;51.690591;21.674168;32;23.08.2020;25.08.2020;27.08.2020;P/20/37329;RT-PCR+;1;padły/padłe;samiec - 1 rok. 50kg;0;1;0;1;
3081;1103/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Stawiguda;Ruś;objęty ograniczeniami;53.6863;20.5012;30;17.08.2020;18.08.2020;24.08.2020;P/20/36715;RT-PCR+;1;padły/padłe;samica - 48 m - 100 kg;1
3082;1104/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Stawiguda;Bartąg;objęty ograniczeniami;53.7128;20.4753;32;15.08.2020;18.08.2020;24.08.2020;P/20/36732;RT-PCR+;1;odstrzelony z objawami;samiec - 12 m - 5 kg;
3083;1105/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Stawiguda;Bartąg;objęty ograniczeniami;53.7124;20.4772;32;15.08.2020;18.08.2020;24.08.2020;P/20/36732;RT-PCR+;1;odstrzelony z objawami;samiec - 12 m - 5 kg;
3084;1106/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Wrócikowo;objęty ograniczeniami;53.8258;20.6763;32;12.08.2020;18.08.2020;24.08.2020;P/20/36732;RT-PCR+;1;odstrzelony;samiec - 12 m - 9 kg;
3085;1107/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Tomarynki;zagrożenia;53.7347;20.2005;32;15.08.2020;18.08.2020;24.08.2020;P/20/36726;RT-PCR+;1;odstrzelony;samica - 24 m - 33 kg;
3086;1108/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jonkowo;Szałstry;zagrożenia;53.8320;20.1844;32;15.08.2020;18.08.2020;24.08.2020;P/20/36726;RT-PCR+;1;odstrzelony;samica - 24 m - 35 kg;
3087;1109/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jonkowo;Szałstry;zagrożenia;53.8321;20.1846;32;15.08.2020;18.08.2020;24.08.2020;P/20/36726;RT-PCR+;1;odstrzelony;samica - 24 m - 35 kg;
3088;1110/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7809;20.5485;32;14.08.2020;18.08.2020;24.08.2020;P/20/36714;RT-PCR+;1;padły/padłe;samica - 24 m - 80 kg;;1;;;
3089;1111/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7643;20.5239;32;14.08.2020;18.08.2020;24.08.2020;P/20/36714;RT-PCR+;1;padły/padłe;nieokreślona, 12 m - 40 kg;;1;;;
3090;765;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Boryń ;zagrożenia;52.036665;15.333843;32;20.08.2020;21.08.2020;27.08.2020;P/20/37354;RT-PCR+;1;odstrzelony z objawami;1. samica - 12 m - 30 kg;1;0;0;0;
3091;766;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe;Łąkie;zagrożenia;52.166283;15.455228;32;19.08.2020;21.08.2020;27.08.2020;P/20/37355;RT-PCR+;1;padły/padłe;samica -12 m - 40 kg;1;0;0;0;
3092;94;podlaskie;20070 Łomża;2007 łomżyński;Piątnica;Nagórki;objęty ograniczeniami;53.261688;22.051016;32;24.08.2020;24.08.2020;31.08.2020;P/20/37674;IPT+;1;odstrzelony;1. samica - 24 m - 55 kg;1;0;0;0;
3093;601;lubelskie;06200 Zamość;0620 zamojski;Szczebrzeszyn;Kawęczynek;zagrożenia;50.6652;22.9011;30;04.08.2020;11.08.2020;17.08.2020;P/20/35760;RT-PCR+;1;padły/padłe;b.d., 36 m - 60 kg;0;1;0;0;
3094;602;lubelskie;06200 Zamość;0620 zamojski;Krasnobród;Krasnobród;zagrożenia;50.5322;23.2098;30;07.08.2020;11.08.2020;17.08.2020;P/20/35764;RT-PCR+;1;padły/padłe;samica - 2 m - 5 kg;1;0;0;0;
3095;603;lubelskie;06200 Zamość;0620 zamojski;Szczebrzeszyn;Niedzieliska Kolonia;zagrożenia;50.6527;23.034;30;10.08.2020;11.08.2020;17.08.2020;P/20/35764;RT-PCR+;2;padły/padłe;1. samica - 18 m - 35 kg 2. samiec - 18 m - 35 kg;2;0;0;0;
3096;604;lubelskie;06200 Zamość;0620 zamojski;Krasnobród;Krasnobród;zagrożenia;50.5322;23.2098;30;11.08.2020;13.08.2020;18.08.2020;P/20/35881;RT-PCR+;1;padły/padłe;b.d. 24 m - 50 kg;0;0;1;0;
