NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
1781;351;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Posadów;Telatyn;objęty ograniczeniami;50.5085;23.8136;32;13.03.2020;16.03.2020;24.03.2020;P/20/13376 P/20/13377;RT-PCR+;2;padły/padłe;1. samica - 24 m - 80 kg 2. samiec - 36 m - 120 kg;1;0;1;0;;
1782;352;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tarnawatka;Tarnawatka;objęty ograniczeniami;50.5296;23.3629;32;13.03.2020;16.03.2020;24.03.2020;P/20/13377;RT-PCR+;1;padły/padłe;samica - 24 m - 100 kg;0;0;1;0;;
1783;353;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tarnawatka Tartak;Tarnawatka;objęty ograniczeniami;50.5156;23.43;32;13.03.2020;16.03.2020;24.03.2020;P/20/13377;RT-PCR+;4;padły/padłe;1. samica - 24 m - 60 kg 2. samiec - 36 m - 120 kg 3. samica - 36 m - 100 kg 4. samiec - 24 m - 80 kg;0;0;4;0;;
1784;354;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Pasieki;Tomaszów Lubelski;zagrożenia;50.4414;23.3785;32;16.03.2020;17.03.2020;24.03.2020;P/20/13378;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;1;0;0;;
1785;355;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Dutrów;Telatyn;objęty ograniczeniami;50.5391;23.8111;32;16.03.2020;17.03.2020;24.03.2020;P/20/13379;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;1;0;0;;
1786;356;lubelskie;06140 Puławy;0614 puławski;Młynki;Końskowola;objęty ograniczeniami;51.4492;22.0424;32;17.03.2020;19.03.2020;24.03.2020;P/20/13417;RT-PCR+;3;padły/padłe;1-3. samica - 36 m - 100 kg;0;0;1;0;;
1787;357;lubelskie;06170 Świdnik;0617 świdnicki (lubelski);Częstoborowice;Rybczewice;objęty ograniczeniami;51.0191;22.8437;32;18.03.2020;19.03.2020;24.03.2020;P/20/13420;RT-PCR+;1;padły/padłe;samica - 36 m - 3 lata;1;0;0;0;;
1788;95;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Rakoniewice;objęty ograniczeniami;52.113867;16.231515;32;20.03.2020;23.03.2020;31.03.2020;P/20/14198;RT-PCR+;1;padły/padłe;samiec - 12 m - 30 kg;0;0;1;0;;
1789;637/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bartoszyce;Lusiny;zagrożenia;54.207672;20.860275;30;17.03.2020;17.03.2020;26.03.2020;P/20/13925;RT-PCR+;1;padły/padłe;1 samica ,36 m -50 kg;0;1;0;0;;
1790;638/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Bisztynek;Bisztynek;zagrożenia;54.079576;20.949905;30;16.03.2020;17.03.2020;26.03.2020;P/20/13925;RT-PCR+;2;padły/padłe;1. samiec - 24 m - ok 60 kg 2. samiec - 24 m - ok 60 kg;0;2;0;0;;
