NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2230;2179/118;mazowieckie;14060 Grójec;1406 grójecki;Warka;Palczew;objęty ograniczeniami;51.721343;21.093537;32;24.04.2020;27.04.2020;30.04.2020;P/20/18961;RT-PCR+;1;padły/padłe;1. Nieokreslony 12 m - 40 kg     ;0;1;0;0;;
2231;2180/119;mazowieckie;14060 Grójec;1406 grójecki;Chynów;Grobice;objęty ograniczeniami;51.926297;21.123142;32;27.04.2020;28.04.2020;30.04.2020;P/20/18998;RT-PCR+;1;padły/padłe;1. samica - 2 lata, 70 kg     ;0;1;0;0;;
2232;802/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Małdyty;Dobrocin;objęty ograniczeniami;53.896492;19.851028;30;16.04.2020;21.04.2020;30.04.2020;P/20/18958;RT-PCR+;6;padły/padłe;"1. płeć nieokreślona, 24 m - 40 kg 2. samica - 36 m - 60 kg 3. płeć nieokreślona, 3 m - 10 kg 4. płeć nieokreślona, 3 m - 10 kg 5. płeć nieokreślona, 24 m - 40 kg 6. płeć nieokreślona, 3 m - 10 kg";0;6;0;0;;
2233;803/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Jędrychówko;objęty ograniczeniami;53.909164;19.877589;30;17.04.2020;21.04.2020;30.04.2020;P/20/18958;RT-PCR+;1;padły/padłe;1. samica - 36 m - 70 kg;0;1;0;0;;
2234;804/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Małdyty;Sambród;zagrożenia;53.964317;19.733047;30;22.04.2020;24.04.2020;30.04.2020;P/20/18975;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 36 m - 60 kg;0;0;1;0;;
2235;805/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mrągowo;Lembruk;objęty ograniczeniami;53.951783;21.245412;32;18.04.2020;20.04.2020;30.04.2020;P/20/18842;IPT+;1;odstrzelony;samiec - 24 m - 59 kg;;
2236;806/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Kolno;Kruzy;zagrożenia;53.9613 ;20.9461 ;32;17.04.2020;21.04.2020;30.04.2020;P/20/18840;IPT+;1;odstrzelony;samica - 24 m - 35 kg;;
2237;807/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Wipsowo;zagrożenia;53.8938 ;20.7900 ;30;20.04.2020;23.04.2020;30.04.2020;P/20/18851;RT-PCR+;1;padły/padłe;nieokreślony, 24 m - 60 kg;;1
2238;808/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Górowo Ił.;Sędziwojewo;objęty ograniczeniami;54.308553;20.405492;32;16.04.2020;20.04.2020;29.04.2020;P/20/18770;IPT+;1;odstrzelony;samica -12m -35 kg;;
2239;121;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Rakoniewice;objęty ograniczeniami;52.120096;16.258806;32;20.04.2020;21.04.2020;30.04.2020;P/20/18852;RT-PCR+;1;padły/padłe;samiec 12 m - 60kg;0;0;1;0;;
2240;122;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Dominice;objęty ograniczeniami;51.9152778;16.308611111111112;32;16.04.2020;16.04.2020;30.04.2020;P/20/18856;RT-PCR+;1;padły/padłe;locha, 14 m, 35 kg;0;0;0;1;;
2241;123;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Dominice;objęty ograniczeniami;51.9161111;16.308611111111112;32;16.04.2020;16.04.2020;30.04.2020;P/20/18856;RT-PCR+;1;padły/padłe;locha, 16 m, 30 kg;0;0;0;1;;
2242;124;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Dominice;objęty ograniczeniami;51.9252778;16.31361111111111;32;19.04.2020;19.04.2020;30.04.2020;P/20/18855;RT-PCR+;1;padły/padłe;samiec - 12 m, 30 kg;0;1;0;0;;
2243;456;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Jarczów;Gródek;zagrożenia;50.505399;23.611827;32;20.04.2020;20.04.2020;27.04.2020;P/20/18403;RT-PCR+;1;padły/padłe;samica - 36 m - 100 kg;0;0;1;0;;
2244;457;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Telatyn;Posadów;objęty ograniczeniami;50.4935;23.79825;32;20.04.2020;20.04.2020;27.04.2020;P/20/18404 P/20/18405;RT-PCR+;2;padły/padłe;1. samiec - 24 m - 70 kg 2. samica - 36 m - 150 kg;1;0;1;0;;
2245;458;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Krynice;Romanówka;objęty ograniczeniami;50.5855;23.340972;32;21.04.2020;22.04.2020;27.04.2020;P/20/18406;RT-PCR+;1;padły/padłe;samica - 24 m - 65 kg;1;0;0;0;;
2246;459;lubelskie;06200 Zamość;0620 zamojski;Skierbieszów;Skierbieszów;zagrożenia;50.8569806;23.359319;32;17.04.2020;21.04.2020;28.04.2020;P/20/18467;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 50 kg;0;0;0;0;;
2247;460;lubelskie;06200 Zamość;0620 zamojski;Stary Zamość;Wierzba II;zagrożenia;50.8412306;23.210649;32;18.04.2020;21.04.2020;28.04.2020;P/20/18467;ELISA+IPT+;1;odstrzelony;samiec - 7 m - 42 kg;0;0;0;0;;
