NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
2945;713;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Karczyn;objęty ograniczeniami;52.150708;15.687528;32;23.07.2020;24.07.2020;03.08.2020;P/20/33086;RT-PCR+;2;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 10 kg                                                                       2. płeć nieokreślona, wiek nieokreślony, 5 kg;0;0;0;2;
2946;714;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Zielona Góra;zagrożenia;51.926934;15.539914;32;24.07.2020;27.07.2020;03.08.2020;P/20/33128;RT-PCR+;1;padły/padłe;1. samica - 36 m - 60 kg;1;0;0;0;
2947;715;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Zielona Góra;zagrożenia;51.92958;15.54023;32;25.07.2020;27.07.2020;03.08.2020;P/20/33183;RT-PCR+;1;padły/padłe;1. samiec - 12 m - 10 kg;1;0;0;0;
2948;716;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Karczyn;objęty ograniczeniami;52.15295;15.71148;32;25.07.2020;27.07.2020;03.08.2020;P/20/33125;RT-PCR+;1;padły/padłe;"1. płeć nieokreślona, wiek nieokreślony, 5 kg";0;0;0;1;
2949;717;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Piaśnica;objęty ograniczeniami;52.046974;15.392405;32;24.07.2020;27.07.2020;03.08.2020;P/20/33125;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 5 kg;0;0;0;1;
2950;718;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Karczyn;objęty ograniczeniami;52.152057;15.709909;32;27.07.2020;29.07.2020;03.08.2020;P/20/33019;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 10 kg;0;0;0;1;
2951;719;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Piaśnica;objęty ograniczeniami;52.04091;15.391208;32;28.07.2020;29.07.2020;03.08.2020;P/20/33019;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 3 kg;0;0;0;1;
2952;585;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Majdan Górny ;zagrożenia;50.441531;23.501141;32;28.07.2020;30.07.2020;03.08.2020;P/20/33117;RT-PCR+;1;padły/padłe;samica - 6 miesc. , 15 kg;0;0;1;0;
2953;586;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Szarowola;zagrożenia;50.504577;23.334255;32;30.07.2020;30.07.2020;03.08.2020;P/20/33117;RT-PCR+;1;padły/padłe;samiec -1 rok, 40 kg;0;0;1;0;
2954;587;lubelskie;06090 Lublin;0609 lubelski;Wysokie;Rezerwa;objęty ograniczeniami;50.8785;22.758556;32;28.07.2020;31.07.2020;04.08.2020;P/20/33229;"RT-PCR+ELISA+IPT+";1;odstrzelony;samica - 1 rok, 20 kg;1;0;0;0;
2955;588;lubelskie;06140 Puławy;0614 puławski;Końskowola;Młynki;objęty ograniczeniami;51.427836;22.049777;32;31.07.2020;31.07.2020;03.08.2020;P/20/33184;RT-PCR+;1;padły/padłe;samiec -1 rok, 70 kg;1;0;0;0;
2956;168;podkarpackie;18120 Nisko;1812 niżański;Harasiuki;Hucisko;objęty ograniczeniami;50.452583;22.398611;30;31.07.2020;03.08.2020;06.08.2020;P/20/34112;RT-PCR+;1;padły/padłe;1. samiec - 8 m - 15 kg;0;0;0;1;
2957;169;podkarpackie;18140 Przeworsk;1814 przeworski;Sieniawa;Dobra;objęty ograniczeniami;50.228539;22.69535;32;04.08.2020;04.08.2020;06.08.2020;P/20/34108;RT-PCR+;1;odstrzelony;1. samiec - 18 m - 30 kg;0;0;0;0;
2958;170;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Podemszczyzna;objęty ograniczeniami;50.2175;23.2878;30;03.08.2020;04.08.2020;06.08.2020;P/20/34109;RT-PCR+;1;padły/padłe;1. samica - 24 m - 70 kg;1;0;0;0;
2959;171;podkarpackie;18200 Tarnobrzeg;1820 tarnobrzeski;Nowa Dęba;Cygany;objęty ograniczeniami;50.532177;21.717318;32;04.08.2020;04.08.2020;06.08.2020;P/20/34161;IPT+;1;odstrzelony;1. samiec - 24 m - 50 kg;0;0;0;0;
2960;1060/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Olsztynek;Olsztynek;objęty ograniczeniami;53.5958;20.2969;30;27.07.2020;29.07.2020;11.08.2020;P/20/34888;RT-PCR+;1;padły/padłe;samiec - 12 m - 20 kg;;1;;;
2961;90;podlaskie;20100 Siemiatycze;2010 siemiatycki;Mielnik;Tokary;objęty ograniczeniami;52.377477;23.25662;32;03.08.2020;03.08.2020;10.08.2020;P/20/34783;ELISA+IPT+;1;odstrzelony;samica - 24m - 64 kg;0;0;0;0;
2962;34;dolnośląskie;02030 Głogów;0203 głogowski;Żukowice;Dankowice;zagrożenia;51.613353;15.965622;32;31.07.2020;04.08.2020;12.08.2020;P/20/35081;RT-PCR+;1;padły/padłe;1. samiec - 24 m - 40 kg;0;1;0;0;
2963;35;dolnośląskie;02030 Głogów;0203 głogowski;Żukowice;Dankowice;zagrożenia;51.616177;15.969855;32;03.08.2020;04.08.2020;12.08.2020;P/20/35079;RT-PCR+;1;odstrzelony;1. samica - 36 m - 65 kg;0;0;0;0;
2964;36;dolnośląskie;02030 Głogów;0203 głogowski;Żukowice;Dankowice;zagrożenia;51.617995;15.971301;32;03.08.2020;04.08.2020;12.08.2020;P/20/35079;RT-PCR+;1;odstrzelony;1. samica - 36 m - 55 kg;0;0;0;0;
2965;37;dolnośląskie;02160 Polkowice;0216 polkowicki;Gaworzyce;Gostyń;zagrożenia;51.65172;15.904333;32;27.07.2020;28.07.2020;12.08.2020;P/20/35080;RT-PCR+;2;padły/padłe;"nieokreśl., 2 tyg, 5 kg; samica 12 mies., 35 kg";1;0;0;0;
2966;1061/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7801;20.4910;32;02.08.2020;05.08.2020;11.08.2020;P/20/35087;RT-PCR+;1;padły/padłe;samica - 24 m., 30 kg;1
2967;1062/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7494;20.4783;32;03.08.2020;05.08.2020;11.08.2020;P/20/35087;RT-PCR+;1;zabity w wypadku;samiec - 48 m, 100 kg;1
2968;1063/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7409;20.5039;30;04.08.2020;07.08.2020;11.08.2020;P/20/35087;RT-PCR+;1;padły/padłe;samiec - 4 m,  20 kg;1
2969;1064/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Grunwald;Omin;objęty ograniczeniami;53.524481;20.205437;30;02.08.2020;04.08.2020;11.08.2020;P/20/35084;RT-PCR+;1;padły/padłe;1.samiec - 4 m - 10 kg;1;0;0;0;
2970;1065/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Grunwald;Omin;objęty ograniczeniami;53.522272;20.195559;30;02.08.2020;04.08.2020;11.08.2020;P/20/35084;RT-PCR+;1;padły/padłe;1.samiec - 4 m - 10 kg;1;0;0;0;
2971;1066/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Gubity;objęty ograniczeniami;53.8711;20.0519;30;03.08.2020;04.08.2020;11.08.2020;P/20/35084;RT-PCR+;1;padły/padłe;1. samica - 36 m - 60 kg;0;1;0;0;
2972;1067/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Maronie;objęty ograniczeniami;53.841431;20.103699;32;05.08.2020;07.08.2020;11.08.2020;P/20/35085;RT-PCR+;1;odstrzelony;1. samiec - 6 m - 8 kg;0;0;0;0;
2973;1068/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7539;20.4799;30;04.08.2020;07.08.2020;11.08.2020;P/20/35074;"RT-PCR+IPT+";1;padły/padłe;samica - 36 m, 65 kg;1
2974;172;podkarpackie;18120 Nisko;1812 niżański;Harasiuki;Krzeszów Górny;objęty ograniczeniami;50.402278;22.389194;32;05.08.2020;06.08.2020;11.08.2020;P/20/35005;RT-PCR+;1;padły/padłe;1. samica - 24 m - 60 kg;0;0;0;1;
2975;173;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Horyniec-Zdrój;objęty ograniczeniami;50.2009;23.3718;32;05.08.2020;06.08.2020;11.08.2020;P/20/35006;RT-PCR+;1;padły/padłe;1. samiec - 14 m - 42 kg;1;0;0;0;
2976;91;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Sosnowik;objęty ograniczeniami;53.232881;23.616418;32;30.07.2020;03.08.2020;11.08.2020;P/20/25082;"RT-PCR+IPT+";1;odstrzelony;samica - do  1 roku, 15 kg;0;0;0;0;
2977;92;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Ostrów Nowy;objęty ograniczeniami;53.243804;23.66054;32;31.07.2020;03.08.2020;11.08.2020;P/20/25082;"RT-PCR+IPT+";1;odstrzelony;samiec - do 1 roku, 10 kg;0;0;0;0;
