NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2718;86;podlaskie;20120 Suwałki;2012 suwalski;Filipów;Garbas Pierwszy;objęty ograniczeniami;54.144685;22.59686;32;18.06.2020;18.06.2020;25.06.2020;P/20/26774;IPT+;1;odstrzelony;samiec - do 1 roku, 65 kg;0;0;0;0;;
2719;557;lubelskie;06060 Krasnystaw;0606 krasnostawski;Izbica;Wólka Orłowska;zagrożenia;50.9349;23.1781;32;10.06.2020;16.06.2020;19.06.2020;P/20/25772;ELISA+IPT+;1;odstrzelony;samica - 36 m - 80 kg;0;0;0;0;;
2720;558;lubelskie;06200 Zamość;0620 zamojski;Łabunie;Łabunie Reforma;objęty ograniczeniami;50.6287;23.3409;30;08.06.2020;16.06.2020;22.06.2020;P/20/26077;RT-PCR+;1;padły/padłe;samiec - 36 m - 60 kg;0;0;1;0;;
2721;559;lubelskie;06200 Zamość;0620 zamojski;Grabowiec;Skomorochy;objęty ograniczeniami;50.8265;23.5086;32;08.06.2020;16.06.2020;22.06.2020;P/20/26078;ELISA+IPT+;1;odstrzelony;samica - 24 m - 50 kg;0;0;0;0;;
2722;560;lubelskie;06200 Zamość;0620 zamojski;Sułów;Michałów;zagrożenia;50.7446;23.0297;32;11.06.2020;16.06.2020;22.06.2020;P/20/26079;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 35 kg;0;0;0;0;;
2723;561;lubelskie;06040 Hrubieszów;0604 hrubieszowski;Trzeszczany;Trzeszczany Pierwsze;objęty ograniczeniami;50.8102;23.7665;32;13.06.2020;16.06.2020;22.06.2020;P/20/26080;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 40 kg;0;0;0;0;;
2724;562;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Susiec;Oseredek;zagrożenia;50.4115;23.1648;32;08.06.2020;15.06.2020;22.06.2020;P/20/26081;RT-PCR+;1;odstrzelony;samica - 24 m - 45 kg;0;0;0;0;;
2725;563;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Susiec;Susiec;zagrożenia;50.4055;23.1735;32;13.06.2020;15.06.2020;22.06.2020;P/20/26081;RT-PCR+;1;odstrzelony;samica - 36 m - 55 kg;0;0;0;0;;
2726;564;lubelskie;06170 Świdnik;0617 świdnicki (lubelski);Trawniki;Ewopole;objęty ograniczeniami;51.1499;23.0469;32;12.06.2020;22.06.2020;24.06.2020;P/20/26483;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 50 kg;0;0;0;0;;
2727;977/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Wójtowo;objęty ograniczeniami;53.7807;20.6047;32;13.06.2020;16.06.2020;24.06.2020;P/20/26466;RT-PCR+;1;odstrzelony;samica - 24 m - 34 kg;;
2728;978/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Świątki;Brzeźno;objęty ograniczeniami;53.9303;20.1323;32;14.06.2020;16.06.2020;24.06.2020;P/20/26462;IPT+;1;odstrzelony;samiec - 24 m - 46 kg;;
2729;979/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dywity;Tuławki;zagrożenia;53.8958;20.5853;32;13.06.2020;16.06.2020;24.06.2020;P/20/26463;IPT+;1;odstrzelony;samica - 24m - 38 kg;;
2730;980/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Orzechowo;zagrożenia;53.9702;20.5337;32;08.06.2020;16.06.2020;24.06.2020;P/20/26463;RT-PCR+;1;odstrzelony;samica - 24 m - 36 kg;;
2731;981/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Tłokowo;zagrożenia;53.9986;20.7650;30;14.06.2020;16.06.2020;24.06.2020;P/20/26467;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;1;
2732;982/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Maruny;zagrożenia;53.8489;20.6744;30;14.06.2020;18.06.2020;24.06.2020;P/20/26467;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;1;
2733;983/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Dadaj;objęty ograniczeniami;53.8588;20.8647;30;14.06.2020;18.06.2020;24.06.2020;P/20/26467;RT-PCR+;1;padły/padłe;nieokreślona, 24 m - 40 kg;;1
2734;2200/139;mazowieckie;14140 Nowy Dwór Mazowiecki;1414 nowodworski (mazowiecki);Leoncin;Zamość;objęty ograniczeniami;52.324;20.4925;32;18.06.2020;19.06.2020;25.06.2020;P/20/26753;IPT+;1;odstrzelony;1. samica - 48 m - 62 kg;0;0;0;0;;
2735;2201/140;mazowieckie;14100 Łosice;1410 łosicki;Sarnaki;Płosków Kolonia;objęty ograniczeniami;52.290806;22.931306;32;20.06.2020;22.06.2020;25.06.2020;P/20/26763;"RT-PCR+ELISA+IPT+";1;odstrzelony;1. samiec - 10 m - 24 kg;0;0;0;0;;
2736;671;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Karczyn;objęty ograniczeniami;52.1511807;15.6999688;32;22.06.2020;24.06.2020;26.06.2020;P/20/27047;RT-PCR+;1;padły/padłe;1. płeć nieokreslona, wiek nieokreślony, 20kg;0;0;0;1;;
2737;672;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Ledno;objęty ograniczeniami;51.972231;15.704295;32;22.06.2020;24.06.2020;26.06.2020;P/20/27047;RT-PCR+;1;padły/padłe;1. płeć nieokreslona, wiek nieokreślony, 5kg;0;0;0;1;;
2738;77;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;wolsztyn;Błocko;objęty ograniczeniami;52.0635361;16.228333;32;07.03.2020;09.03.2020;15.03.2020;P/20/11847;RT-PCR+;12;padły/padłe;"1. samiec - 24 m - 50 kg 2. płeć nieokreślona, 6m - 10 kg  3. płec nieokreślona, 18 m - 20 kg 4. płeć nieokreślona, 12 m - 35 kg 5. samica - 12 m - 40 kg  6. samiec - 36 m - 70 kg 7. samica - 12 m - 30 kg  8. płeć nieokreślona, 18 m - 25 kg  9. płec nieokreślona, 12 m - 35 kg 10. płeć nieokreślona, 12 m - 40 kg 11. płeć nieokreślona, 12 m - 30 kg  12. samiec - 12 m - 30 kg";1;9;2;0;;
