NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
2988;93;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Sosnowik;objęty ograniczeniami;53.236168;23.607388;30;05.08.2020;06.08.2020;14.08.2020;P/20/35469;"RT-PCR+IPT+";1;padły/padłe;samica - 1 rok,50 kg;0;0;1;0;
2989;728;lubuskie;08040 Nowa Sól;0804 nowosolski;Nowa Sól;Nowa Sól;zagrożenia;51.78689;15.73547;32;02.08.2020;05.08.2020;08.08.2020;p/20/34316;RT-PCR+;1;padły/padłe;samica/12m-cy/ 10kg;1;0;0;0;
2990;729;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Mirocin Sredni;objęty ograniczeniami;51.755745;15.5467;32;03.08.2020;05.08.2020;08.08.2020;p/20/34312;RT-PCR+;1;padły/padłe;samica/ 24 m-ce/ 50kg;1;0;0;0;
2991;730;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Tarnów Bycki;objęty ograniczeniami;51.748979;15.807398;32;05.08.2020;07.08.2020;12.08.2020;p/20/35271;RT-PCR+;1;padły/padłe;samica /12m-cy/ 30kg;0;0;1;0;
2992;731;lubuskie;08040 Nowa Sól;0804 nowosolski;Bytom Odrzański;Wierzbnica Las;zagrożenia;51.698714;15.831809;32;06.08.2020;07.08.2020;12.08.2020;p/20/35270;RT-PCR+;1;padły/padłe;samiec /48m-cy/90kg;1;0;0;0;
2993;1071/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Wójtowo;objęty ograniczeniami;53.7963;20.6141;30;03.08.2020;05.08.2020;11.08.2020;P/2035087;RT-PCR+;1;padły/padłe;1. samica - 36 m - 80 kg;1
2994;1072/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Purda;Stary Olsztyn;objęty ograniczeniami;53.7291;20.5308;30;01.08.2020;05.08.2020;11.08.2020;P/20/35087;RT-PCR+;1;padły/padłe;1. nieokreślona, 6 m - 10 kg;;1;;;
2995;589;lubelskie;06040 Hrubieszów;0604 hrubieszowski;Horodło;Matcze;zagrożenia;50.9673;23.9334;32;29.07.2020;30.07.2020;04.08.2020;P/20/33171;RT-PCR+;1;odstrzelony;samiec - 36 m - 75 kg;0;0;0;0;
2996;590;lubelskie;06090 Lublin;0609 lubelski;Krzczonów;Sobieska Wola Pierwsza;objęty ograniczeniami;50.9663;22.789;32;31.07.2020;03.08.2020;04.08.2020;P/20/33420;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;1;0;0;0;
2997;591;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Topólcza;zagrożenia;50.6542;22.9389;30;27.07.2020;04.08.2020;06.08.2020;P/20/34111;RT-PCR+;1;padły/padłe;samica - 36 m - 80 kg;1;0;0;0;
2998;592;lubelskie;06070 Kraśnik;0607 kraśnicki;Gościeradów;Salomin;objęty ograniczeniami;50.8261;22.0274;32;28.07.2020;05.08.2020;06.08.2020;P/20/34162;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 40 kg;0;0;0;0;
2999;593;lubelskie;06010 Biała Podlaska;0601 bialski;Konstantynów;Komarno Kolonia;objęty ograniczeniami;52.165;23.0875;32;29.07.2020;05.08.2020;07.08.2020;P/20/34226;ELISA+IPT+;1;odstrzelony;samica - 36 m - 70 kg;0;0;0;0;
3000;594;lubelskie;06140 Puławy;0614 puławski;Końskowola;Stara Wieś;objęty ograniczeniami;51.4025;22.0371;32;06.08.2020;07.08.2020;10.08.2020;P/20/34784;IPT+;1;odstrzelony;samica - 4 m - 10 kg;0;0;0;0;
3001;2209/148;mazowieckie;14060 Grójec;1406 grójecki;Pniewy;Budki Petrykowskie;objęty ograniczeniami;51.916343;20.674924;32;06.08.2020;11.08.2020;14.08.2020;P/20/35470;IPT+;1;odstrzelony;1. samica - 18 m - 50 kg     ;1;0;0;0;
3002;1073/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Purda;Silice;objęty ograniczeniami;53.7519;20.6370;32;01.08.2020;04.08.2020;11.08.2020;P/20/35088;RT-PCR+;1;odstrzelony;1.samiec - 36 m - 60 kg;
3003;1074/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dywity;Słupy;zagrożenia;53.8398;20.5227;30;05.08.2020;07.08.2020;11.08.2020;P/20/35086;RT-PCR+;1;padły/padłe;1. nieokreślony, 12 m - 20 kg1;
3004;1075/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Łęgajny;objęty ograniczeniami;53.804;20.5971;30;06.08.2020;07.08.2020;11.08.2020;P/20/35086;RT-PCR+;1;padły/padłe;1. samica - 36 m - 90 kg;1
3005;595;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Lubycza Królewska;Hrebenne;zagrożenia;50.291;23.5789;32;25.07.2020;27.07.2020;04.08.2020;P/20/33170;ELISA+IPT+;1;odstrzelony;samiec - 6 m - 12 kg;0;0;0;0;
3006;596;lubelskie;06020 Biłgoraj;0602 biłgorajski;Frampol;Smoryń;zagrożenia;50.675;22.7826;32;30.07.2020;30.07.2020;04.08.2020;P/20/33181;RT-PCR+;1;padły/padłe;nie określono;0;0;1;0;
3007;597;lubelskie;06020 Biłgoraj;0602 biłgorajski;Józefów;Józefów;zagrożenia;50.4762;23.0653;32;30.07.2020;30.07.2020;04.08.2020;P/20/33182;RT-PCR+;1;padły/padłe;nie określono;0;0;1;0;
3008;598;lubelskie;06020 Biłgoraj;0602 biłgorajski;Potok Górny;Lipiny Dolne;zagrożenia;50.3928;22.4586;32;03.08.2020;03.08.2020;06.08.2020;P/20/34049;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;1;0;0;0;
3009;599;lubelskie;06020 Biłgoraj;0602 biłgorajski;Frampol;Pulczynów;zagrożenia;50.6504;22.7584;32;05.08.2020;07.08.2020;11.08.2020;P/20/35003;"RT-PCR+IPT+";1;odstrzelony z objawami;samica - 24 m - 40 kg;0;0;0;0;
3010;600;lubelskie;06020 Biłgoraj;0602 biłgorajski;Potok Górny;Lipiny Dolne;zagrożenia;50.3939;22.4312;32;11.08.2020;12.08.2020;16.08.2020;P/20/35003;"RT-PCR+IPT+";1;padły/padłe;samiec - 12 m - 30 kg;1;0;0;0;
3011;1076/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mrągowo;Piotrówka;objęty ograniczeniami;53.876277;21.358318;30;06.08.2020;10.08.2020;18.08.2020;P/20/35877;RT-PCR+;1;padły/padłe;samiec - 6 m-c, 15 kg;1
3012;1077/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Dragolice;objęty ograniczeniami;53.805266;20.052408;30;07.08.2020;11.08.2020;18.08.2020;P/20/35876;RT-PCR+;1;padły/padłe;1.samiec - 24 m - 60 kg;0;1;0;0;
