NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć. wiek (w miesiącach). waga;+;++;+++;Kości;;;;
3346;1186/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Ostróda;Idzbark;objęty ograniczeniami;53.683889;20.062967;32;28.09.2020;;07.10.2020;P/20/44788;RT-PCR+;1;zabity w wypadku;1. samiec, 36 m-cy, 80 kg;1;0;0;0;
3347;2219/158;mazowieckie;14260 Siedlce;1426 siedlecki;Wodynie;445 Kołodziąż;objęty ograniczeniami;52.008182;21.959478;32;05.10.2020;;09.10.2020;P/20/45203;"ELISA+IPT+";1;odstrzelony;1. samica, 30 m-cy, 55 kg;0;0;0;0;
3348;200;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Horyniec-Zdrój;zagrożenia;50.2062;23.3871;30;01.10.2020;;08.10.2020;P/20/45170;RT-PCR+;1;padły/padłe;1. samiec, 6 m-cy, 20 kg;1;;;;
3349;201;podkarpackie;18090 Lubaczów;1809 lubaczowski;Lubaczów;Basznia Górna;objęty ograniczeniami;50.1832;23.2963;30;05.10.2020;;08.10.2020;P/20/45172;RT-PCR+;2;padły/padłe;"1. nn, 24 m-ce, 70 kg, 2. nn, 13 m-cy, 40 kg";;;1;
3350;202;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Dziewięcierz;zagrożenia;50.1945;23.4291;30;05.10.2020;;08.10.2020;P/20/45171;RT-PCR+;6;padły/padłe;"1. nn, 12 m-cy, 30 kg, 2. samica, 24 m-ce, 70 kg, 3. nn, 12 m-cy, 30 kg, 4. nn, 12 m-cy, 35 kg, 5. samiec, 12 m-cy, 35 kg";;;1;
3351;203;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Radruż;zagrożenia;50.2198;23.4214;30;05.10.2020;;08.10.2020;P/20/45171;RT-PCR+;1;padły/padłe;1. samiec, 8 m-cy, 25 kg;1;;;;
3352;204;podkarpackie;18140 Przeworsk;1814 przeworski;Sieniawa;Leżachów;zagrożenia;50.13722;22.642478;32;03.10.2020;;08.10.2020;P/20/45166;RT-PCR+;1;odstrzelony;1. samiec, 6 m-cy, 20 kg;;;;;
3353;840;lubuskie;08050 Ośno Lubuskie;0805 słubicki;Cybinka;Bieganów;ochronny;52.184573;14.740984;32;30.09.2020;;08.10.2020;P/20/44899;RT-PCR+;1;padły/padłe;1. samica, 36mcy, 55kg ;1;0;0;0;
3354;841;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Budachów;objęty ograniczeniami;52.136365;15.111294;32;30.09.2020;;08.10.2020;P/20/44897;RT-PCR+;2;padły/padłe;brak danych;0;0;0;2;
3355;842;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Dąbie;Lubiatów;zagrożenia;51.924187;15.2242801;32;30.09.2020;;08.10.2020;P/20/44898;RT-PCR+;1;padły/padłe;samica/18m-cy/45 kg;1;0;0;0;
3356;1187/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Skajboty;zagrożenia;53.7594;20.6758;32;22.09.2020;;07.10.2020;P/20/44782;RT-PCR+;1;odstrzelony;samiec, 12 m-cy, 19 kg;;;;;
3357;1188/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Biskupiec;Łąka Dymerska;objęty ograniczeniami;53.7846;21.0161;32;26.09.2020;;07.10.2020;P/20/44783;RT-PCR+;1;odstrzelony;samica, 5 m-cy;;;;;
3358;1189/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Purda;Ostrzeszewo;zagrożenia;53.7624;20.5356;32;28.09.2020;;07.10.2020;P/20/44785;RT-PCR+;1;padły/padłe;samiec, 36 m-cy, 70 kg;;1;;;
3359;1190/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Purda;Klebark Mały;zagrożenia;53.7716;20.5661;32;28.09.2020;;07.10.2020;P/20/44785;RT-PCR+;1;padły/padłe;samica, 12 m-cy, 30 kg;;1;;;;;;
3360;1191/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Studzianek;zagrożenia;53.8123;20.7550;30;25.09.2020;;07.10.2020;P/20/44785;RT-PCR+;1;padły/padłe;samica, 36 m-cy, 80 kg;;1;;;;;;
3361;1192/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Stawiguda;Ruś;zagrożenia;53.6879;20.5029;30;25.09.2020;;07.10.2020;P/20/44785;RT-PCR+;1;padły/padłe;samica, 18 m-cy, 60 kg;1;;;;;;;
3362;1193/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Skajboty;zagrożenia;53.7605;20.6680;30;28.09.2020;;07.10.2020;P/20/44785;RT-PCR+;1;padły/padłe;samica, 36 m-cy, 85 kg;;1;;;;;;
3363;843;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Czerwieńsk;zagrożenia;52.029095;15.398143;32;02.10.2020;;12.10.2020;P/20/45535;"ELISA+IPT+";1;odstrzelony;1. samiec, 24 m-ce, 35 kg;1;0;0;0;;;;
3364;844;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.895;15.3561;32;27.09.2020;;12.10.2020;P/20/45775;RT-PCR+;1;odstrzelony;1. samiec, 12 m-cy, 10 kg;1;0;0;0;;;;
3365;845;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Brzezie k.Pomorska;zagrożenia;52.08603;15.49451;32;01.10.2020;;12.10.2020;P/20/45774;RT-PCR+;1;odstrzelony;1. samiec, 60 m-cy, 67kg;1;0;0;0;;;;
3366;846;lubuskie;08080 Świebodzin;0808 świebodziński;Lubrza;Zagórze;objęty ograniczeniami;52.25;15.335833;32;06.10.2020;;12.10.2020;P/20/45773;RT-PCR+;1;zabity w wypadku;samica, 24 m-ce,50kg;0;0;1;0;;;;
3367;847;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Krosno Odrzańskie;Czarnowo;zagrożenia;52.0495794;14.9656591;32;02.10.2020;;12.10.2020;P/20/45765;RT-PCR+;1;padły/padłe;samica/2lata/50kg;0;0;0;1;;;;
