NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2641;150;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Papiernia;objęty ograniczeniami;51.9136111;16.3027777;32;27.05.2020;28.05.2020;12.06.2020;P/20/24849;RT-PCR+;1;padły/padłe;samiec - 6 miesięcy, 25 kg;1;0;0;0;;
2642;2196/135;mazowieckie;14140 Nowy Dwór Mazowiecki;1414 nowodworski (mazowiecki);Leoncin;Gać (O/O Rybitew, KPN);objęty ograniczeniami;52.3913;20.5609;32;03.06.2020;03.06.2020;12.06.2020;P/20/24957;IPT+;1;odstrzelony;samiec - 48 m - 60 kg;0;0;0;0;;
2643;2197/136;mazowieckie;14260 Siedlce;1426 siedlecki;Zbuczyn;Sobicze;objęty ograniczeniami;52.093326;22.639335;32;08.06.2020;08.06.2020;12.06.2020;P/20/24959;"RT-PCR+ELISA+IPT+";1;odstrzelony;samica - 12 m - 31 kg;0;0;0;0;;
2644;81;podlaskie;20130 Wysokie Mazowieckie;2013 wysokomazowiecki;Ciechanowiec;Malec;zagrożenia;52.655;22.5597;32;02.06.2020;02.06.2020;12.06.2020;P/20/24958;RT-PCR+;1;padły/padłe;samiec - 12 m - 55 kg;0;1;0;0;;
2645;652;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Pomorsko;objęty ograniczeniami;52.0389211;15.5243177;32;04.06.2020;10.06.2020;12.06.2020;P/20/24842;RT-PCR+;2;padły/padłe;"1. płeć nieokreślona, wiek nieokreślony, 5 kg,2.płeć nieokreślona, wiek nieokreślony, 5 kg";0;0;0;2;;
2646;653;lubuskie;0804 Nowa Sól;0804 nowosolski;Nowa Sól;Kiełcz- łąka;zagrożenia;51.76823333;15.73765667;32;03.06.2020;05.06.2020;12.06.2020;P/20/24941;RT-PCR+;1;padły/padłe;nieokreślona, nieokreślony, 15kg;0;0;0;1;;
2647;654;lubuskie;0804 Nowa Sól;0804 nowosolski;Nowa Sól;Kiełcz- łąka;zagrożenia;51.76848167;15.73798;32;03.06.2020;05.06.2020;12.06.2020;P/20/24941;RT-PCR+;1;padły/padłe;nieokreślona, nieokreślony, 10kg;0;0;0;1;;
2648;655;lubuskie;0840 Nowa Sól;0804 nowosolski;Nowa Sól;Stany;zagrożenia;51.8077806;15.7408926;32;03.06.2020;05.06.2020;12.06.2020;P/20/24941;RT-PCR+;1;padły/padłe;samiec - 2 lata, 40kg;0;0;1;0;;
2649;950/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Olecko;Kijewo;zagrożenia;53.922927;22.501066;30;01.06.2020;02.06.2020;12.06.2020;P/20/24848;RT-PCR+;1;padły/padłe;samiec - 24 m - 50 kg;1;
2650;951/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Olecko;Lenarty;zagrożenia;54.125475;22.548057;30;29.05.2020;01.06.2020;12.06.2020;P/20/24848;RT-PCR+;1;odstrzelony z objawami;samiec - 36 m - 80 kg;1;
