NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
1066;243;lubelskie;06140 Puławy;0614 puławski;Puławy;Puławy;objęty ograniczeniami;51.4366;21.9658;32;24.02.2020;24.02.2020;26.02.2020;P/20/08692 P/20/08693;RT-PCR+;2;padły/padłe;1. samica - 24 m-ce. 100 kg 2. samiec - 12 m - 60 kg;2;0;0;0;;
1067;244;lubelskie;06160 Ryki;0616 rycki;Ryki;Lasoń;objęty ograniczeniami;51.582919;21.956871;32;24.02.2020;24.02.2020;26.02.2020;P/20/08705;RT-PCR+;1;padły/padłe;samica - 12 m - 30 kg;1;0;0;0;;
1068;245;lubelskie;06160 Ryki;0616 rycki;Ryki;Kleszczówka;objęty ograniczeniami;51.560833;21.919722;32;24.02.2020;24.02.2020;26.02.2020;P/20/08704;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;1;0;0;;
1069;246;lubelskie;06020 Biłgoraj;0602 biłgorajski;Tarnogród;Luchów Górny;objęty ograniczeniami;50.315193;22.695541;32;21.02.2020;24.02.2020;27.02.2020;P/20/08870;RT-PCR+;1;padły/padłe;samiec - 12 m - 50 kg ;1;0;0;0;;
1070;247;lubelskie;06060 Krasnystaw;0606 krasnostawski;Gorzków;Orchowiec;zagrożenia;50.985595;22.975449;32;22.02.2020;26.02.2020;28.02.2020;P/20/09181;ELISA+IPT+;1;odstrzelony;samica - 24 m-ce. 54 kg;0;0;0;0;;
1071;248;lubelskie;06030 Chełm;0603 chełmski;Dorohusk;Olenówka;objęty ograniczeniami;51.139695;23.606612;32;21.02.2020;26.02.2020;28.02.2020;P/20/09203;ELISA+IPT+;1;odstrzelony;samica - 18 m - 45 kg;0;0;0;0;;
1072;231;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Rachanie;Siemierz;objęty ograniczeniami;50.5916966;23.5026557;32;12.02.2020;17.02.2020;24.02.2020;P/20/08365;RT-PCR+;1;padły/padłe;samica - 36 m - 120 kg;0;0;1;0;;
1073;232;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Rachanie;Pawłówka;objęty ograniczeniami;50.517002;23.584883;32;13.02.2020;17.02.2020;24.02.2020;P/20/08365;RT-PCR+;1;padły/padłe;samica - 36 m - 100 kg;0;0;1;0;;
1074;233;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tarnawatka;Tarnawatka;objęty ograniczeniami;50.51278;23.453911;32;13.02.2020;17.02.2020;24.02.2020;P/20/08365;RT-PCR+;1;padły/padłe;samiec - 48 m - 80 kg;0;0;1;0;;
1075;234;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tarnawatka;Tarnawatka;objęty ograniczeniami;50.508829;23.367936;32;13.02.2020;17.02.2020;24.02.2020;P/20/08365;RT-PCR+;3;padły/padłe;1. samica - 12 m - 40 kg 2. bd.. ok. 36 m - ok. 100 kg 3. bd.. ok. 48 m - ok. 80 kg ;0;0;3;0;;
