NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2368;73;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Boćki;Śnieżki;zagrożenia;52.586389;23.139722;32;30.04.2020;04.05.2020;14.05.2020;P/20/20670;IPT+;1;odstrzelony;1. samica 24 m - 60 kg  ;0;0;0;0;;
2369;858/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Piecki;Lipowo;objęty ograniczeniami;53.770273;21.452939;30;04.05.2020;04.05.2020;14.05.2020;P/20/20662 ;RT-PCR+;1;padły/padłe;samica - 24 m - 30 kg;;
2370;859/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Ełk;Wityny;objęty ograniczeniami;53.865200;22.336400;32;05.05.2020;07.05.2020;14.05.2020;P/20/20672;IPT+;1;odstrzelony;"samica - 24 m - 43 kg,";;
2371;860/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Olecko;Gąski;zagrożenia;53.958663;22.436491;32;03.05.2020;04.05.2020;14.05.2020;P/20/20648;RT-PCR+;1;odstrzelony;samica - 12 m - 30 kg;;
2372;861/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Stare Juchy;Kałtki;zagrożenia;53.925694;22.124833;32;05.05.2020;07.05.2020;14.05.2020;P/20/20673;IPT+;1;odstrzelony;"samica - 18 m - 50 kg,";;
2373;569;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Krężoły;objęty ograniczeniami;52.100763;15.669081;32;01.05.2020;04.05.2020;11.05.2020;P/20/20053;RT-PCR+;1;odstrzelony;1.samica - 24-m -41kg;1;0;0;0;;
2374;570;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Podlegórz;objęty ograniczeniami;52.06409;15.695898;32;02.05.2020;02.05.2020;11.05.2020;P/20/20052;RT-PCR+;1;odstrzelony;1. samica - 12 m - 45 kg;1;0;0;0;;
2375;571;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Ledno;objęty ograniczeniami;51.978049;15.729852;32;30.04.2020;01.05.2020;11.05.2020;"P/20/20071,P/20/20072,P/20/20073,P/20/20075,P/20/20076,P/20/20077";RT-PCR+;6;padły/padłe;"1. płeć nieokreślona, 24 m - 5 kg, 2.płeć nieokreślona, 24 m - 5 kg, 3. płeć nieokreślona, 24 m - 10 kg, 4.samica - 24 m - 50 kg, 5. płeć nieokreślona, 24 m - 10 kg, 6. płeć nieokreślona, 24 m - 50 kg";0;1;2;3;;
2376;572;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Ledno;objęty ograniczeniami;51.972197;15.704288;32;02.05.2020;02.05.2020;11.05.2020;P/20/20056;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 24 m - 10 kg;0;0;1;0;;
2377;573;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Ledno;objęty ograniczeniami;51.977177;15.710988;32;01.05.2020;01.05.2020;11.05.2020;P/20/20078;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 24 m - 45 kg;0;0;1;0;;
2378;574;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Trzebiechów;objęty ograniczeniami;52.033479;15.779572;32;28.04.2020;29.05.2020;11.05.2020;P/20/20068;RT-PCR+;1;padły/padłe;1. samica - 36 m - 80 kg;0;0;1;0;;
2379;575;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Podlegórz;objęty ograniczeniami;52.046367;15.706631;32;02.05.2020;02.05.2020;11.05.2020;P/20/20079;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 36 m - 60 kg;0;0;1;0;;
