NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć. wiek (w miesiącach). waga;+;++;+++;Kości;
2532;912/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Wenecja;objęty ograniczeniami;53.876577;19.832264;30;19.05.2020;20.05.2020;28.05.2020;P/20/22618;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 18 m - 30 kg;0;0;1;0;
2533;913/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Małdyty;Dobrocin;objęty ograniczeniami;53.903888;19.846111;30;21.05.2020;22.05.2020;28.05.2020;P/20/22618;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 24 m - 50 kg;0;0;1;0;
2534;914/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Głotowo;zagrożenia;53.9469;20.3547;30;15.05.2020;20.05.2020;27.05.2020;P/20/22533;RT-PCR+;1;padły/padłe;samica - 36 m - 70 kg.;;1;;;
2535;915/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Dadaj;objęty ograniczeniami;53.8566;20.8652;30;18.05.2020;22.05.2020;27.05.2020;P/20/22532;RT-PCR+;2;padły/padłe;"1. nieokrelona, 24 m - 60 kg2. nieokreślona, 24 m - 70 kg";;2;;;
2536;623;lubuskie;08120 Sława;0812 wschowski;Wschowa;Pszczółkowo;objęty ograniczeniami;51.807414;16.169497;32;20.05.2020;22.05.2020;28.05.2020;P/20/22683;RT-PCR+;1;padły/padłe;1. SAMICA, 24-M-CE, 50kg                                                              ;0;1;0;0;
2537;624;lubuskie;08040 Nowa Sól;0804 nowosolski;Siedlisko;Borowiec;objęty ograniczeniami;51.7960534;15.8521946;32;20.05.2020;22.05.2020;28.05.2020;P/20/22684;RT-PCR+;1;padły/padłe;samica - 36 mc, 60 kg;0;1;0;0;
2538;78;podlaskie;20120 Suwałki;2012 suwalski;Raczki;Koniecbór;objęty ograniczeniami;54.009206;22.832294;32;21.05.2020;21.05.2020;01.06.2020;P/20/23080;IPT+;1;odstrzelony;samica - do 2 lat, 70 kg;0;0;0;0;
2539;625;lubuskie;08120 Sława;0812 wschowski;Sława;Przydroże;objęty ograniczeniami;51.820958;16.119616;32;22.05.2020;25.05.2020;29.05.2020;P/20/22907;RT-PCR+;1;padły/padłe;1. NIEOKREŚLONA, NIEKREŚLONY, 10kg;0;0;0;1;
2540;626;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Letnica;objęty ograniczeniami;51.911307;15.335062;32;24.05.2020;25.05.2020;29.05.2020;"P/20/22906,P/20/22910,P/20/22908";RT-PCR+;3;padły/padłe;"1. samiec - 12 m - 30 kg,2.samiec - 12 m - 40 kg,3.samica - 24 m - 40 kg";1;1;1;0;
2541;627;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Letnica;objęty ograniczeniami;51.8980239;15.3231446;32;26.05.2020;27.05.2020;29.05.2020;P/20/22912;RT-PCR+;1;padły/padłe;1. samiec - 36 m - 70 kg;1;0;0;0;
2542;628;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Krępa;zagrożenia;52.033676;15.547221;32;25.05.2020;27.05.2020;29.05.2020;P/20/22913;RT-PCR+;1;padły/padłe;1. samica - 24 m - 50 kg;1;0;0;0;
2543;629;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Głęboka;objęty ograniczeniami;52.003627;15.658067;32;24.05.2020;27.05.2020;29.05.2020;P/20/22911;RT-PCR+;3;padły/padłe;"1. pleć nieokreślona, 24 m - 5 kg, 2.płeć nieokreślona , 24 m - 60 kg, 3.płeć nieokreślona, 36 m - 10 kg";0;0;1;2;
2544;630;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Sulechów;Buków;objęty ograniczeniami;52.1369;15.6219;32;17.05.2020;21.05.2020;26.05.2020;P/20/22370;RT-PCR+;1;odstrzelony;1. samica - 12 m - 35 kg;1;0;0;0;
2545;631;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Nietkowice;objęty ograniczeniami;52.071246;15.335424;32;22.05.2020;28.05.2020;01.06.2020;P/20/23076;RT-PCR+;1;odstrzelony;1. samica - 24 m - 40 kg;1;0;0;0;
2546;916/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Olecko;Skowronki;zagrożenia;53.997445;22.534535;30;14.05.2020;18.05.2020;02.06.2020;P/20/23270;RT-PCR+;2;padły/padłe;płeć nie określona, 24 m- ce, 40kg                                                  płeć nie określona, 24 m- ce, 40kg;;;2;;
2547;917/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Łukta;objęty ograniczeniami;53.815509;20.080000;32;12.05.2020;19.05.2020;02.06.2020;P/20/23274;RT-PCR+;1;odstrzelony;1. samica - 36 m - 45 kg;0;0;0;0;
2548;918/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Ględy;objęty ograniczeniami;53.877900;20.108100;32;14.05.2020;19.05.2020;02.06.2020;P/20/23274;RT-PCR+;1;odstrzelony;1. samica - 36 m - 55 kg;0;0;0;0;
2549;919/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Szymanowo;zagrożenia;53.930240;19.895611;30;14.05.2020;19.05.2020;02.06.2020;P/20/23273;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 36 m - 70 kg;0;0;1;0;
2550;146;wielkopolskie;30130 Leszno;3013 leszczyński;Włoszakowice;Papiernia;objęty ograniczeniami;51.9122222;16.305;32;13.05.2020;15.05.2020;01.06.2020;P/20/23075;RT-PCR+;1;padły/padłe;samica - 2 lata, 50 kg;0;1;0;0;
