NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2670;29;dolnośląskie;02030 Głogów;0203 głogowski;Kotla;Zabiele;objęty ograniczeniami;51.699167;16.046944;32;08.06.2020;09.06.2020;18.06.2020;P/20/25765;ELISA+IPT+;1;odstrzelony;1. samiec - 36 m - 20 kg;0;0;0;0;;
2671;30;dolnośląskie;02030 Głogów;0203 głogowski;Żukowice;Kłoda;objęty ograniczeniami;51.656604;15.940366;32;08.06.2020;09.06.2020;18.06.2020;P/20/25765;ELISA+IPT+;1;odstrzelony;1. samiec - 12 m - 30 kg;0;0;0;0;;
2672;545;lubelskie;06020 Biłgoraj;0602 biłgorajski;Łukowa;Pisklaki;objęty ograniczeniami;50.4158;22.898;32;05.06.2020;09.06.2020;10.06.2020;P/20/24712;RT-PCR+;1;odstrzelony;samica - 24 m - 35 kg;0;0;0;0;;
2673;546;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Łaszczów;Nadolce;objęty ograniczeniami;50.538;23.7113;30;03.06.2020;04.06.2020;12.06.2020;P/20/24843;RT-PCR+;1;padły/padłe;samica - 36 m - 80 kg;1;0;0;0;;
2674;547;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Rachanie;Michałów;objęty ograniczeniami;50.5483;23.6104;32;03.06.2020;04.06.2020;12.06.2020;P/20/24844;RT-PCR+;1;padły/padłe;samica - 36 m - 100 kg;0;1;0;0;;
2675;548;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Ulów;zagrożenia;50.4808;23.2933;32;04.06.2020;09.06.2020;17.06.2020;P/20/25535;RT-PCR+;1;padły/padłe;samiec - 24 m - 60 kg;0;1;0;0;;
2676;549;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Chorążanka;zagrożenia;50.46;23.5402;30;05.06.2020;09.06.2020;17.06.2020;P/20/25536;RT-PCR+;1;padły/padłe;samiec - 36 m - 100 kg;0;1;0;0;;
2677;550;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Susiec;Łosiniec;zagrożenia;50.4278;23.2981;30;06.06.2020;09.06.2020;17.06.2020;P/20/25538;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;0;1;0;0;;
2678;551;lubelskie;06010 Biała Podlaska;0601 bialski;Janów Podlaski;Wygoda;objęty ograniczeniami;52.2;23.2552;32;12.06.2020;15.06.2020;17.06.2020;P/20/25455;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 55 kg;0;0;0;0;;
2679;552;lubelskie;06010 Biała Podlaska;0601 bialski;Terespol;Łęgi;objęty ograniczeniami;52.165;23.4575;32;14.06.2020;15.06.2020;17.06.2020;P/20/25455;ELISA+IPT+;1;odstrzelony;samiec - 12 m - 30 kg;0;0;0;0;;
2680;553;lubelskie;06060 Krasnystaw;0606 krasnostawski;Łopiennik Górny;Borowica;zagrożenia;51.0774;23.1372;32;12.06.2020;15.06.2020;17.06.2020;P/20/25456;ELISA+IPT+;1;odstrzelony;samica - 24 m - 50 kg;0;0;0;0;;
2681;554;lubelskie;06030 Chełm;0603 chełmski;Siedliszcze;Janowica;zagrożenia;51.2053;23.18;32;12.06.2020;15.06.2020;17.06.2020;P/20/25457;RT-PCR+;1;padły/padłe;samica - 2 m - 6 kg;1;0;0;0;;
2682;555;lubelskie;06190 Włodawa;0619 włodawski;Włodawa;Krasówka;zagrożenia;51.6617;23.3893;32;12.06.2020;12.06.2020;17.06.2020;P/20/25397;ELISA+IPT+;1;odstrzelony;samica - 36 m - 55 kg;0;0;0;0;;
2683;556;lubelskie;06200 Zamość;0620 zamojski;Nielisz;Nielisz;zagrożenia;50.7612;23.0295;32;04.06.2020;09.06.2020;17.06.2020;P/20/25564;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 45 kg;0;0;0;0;;
2684;958/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Łukta;Kozia Góra;objęty ograniczeniami;53.868320;20.089579;30;05.06.2020;09.06.2020;17.06.2020;P/20/25563;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 2 m - 5 kg;0;0;0;1;;
2685;959/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Niebrzydowo;zagrożenia;53.982458;19.995808;30;05.06.2020;09.06.2020;17.06.2020;P/20/25450;RT-PCR+;2;padły/padłe;"1. płeć nieokreślona, 36 m - 70 kg, 2. płeć nieokreślona, 24m - 40 kg";0;0;0;2;;
2686;960/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Miłakowo;Pityny;objęty ograniczeniami;53.995346;20.129704;32;04.06.2020;09.06.2020;17.06.2020;P/20/25453;IPT+;1;odstrzelony;1. samica - 24 m - 45 kg;0;0;0;0;;
2687;961/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Miłakowo;Polkajny;objęty ograniczeniami;54.021385;20.100861;32;08.06.2020;09.06.2020;17.06.2020;P/20/25453;IPT+;1;odstrzelony;1. samica - 24 m - 43 kg;0;0;0;0;;
2688;962/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Godkowo;Miłosna;zagrożenia;54.097217019;19.83222196;32;05.06.2020;09.06.2020;17.06.2020;P/20/25448;IPT+;1;odstrzelony;1. samiec - 24 m - 50 kg           ;;
2689;963/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Młynary;Sucha;objęty ograniczeniami;54.139306726;19.68036053;32;01.06.2020;09.06.2020;17.06.2020;P/20/25448;IPT+;1;odstrzelony;1. samiec - 36 m - 67 kg           ;;
2690;964/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Godkowo;Kwitajny Wielkie;zagrożenia;54.1050302;19.8816918;32;05.06.2020;09.06.2020;17.06.2020;P/20/25448;RT-PCR+;1;odstrzelony;1. samica - 3 m - 8 kg           ;;
2691;965/2020;warmińsko-mazurskie;28180 Gołdap;2818 gołdapski;Gołdap;Kolniszki;objęty ograniczeniami;54.266763;22.375771;32;04.06.2020;09.06.2020;17.06.2020;P/20/25452;IPT+;1;odstrzelony;1.samica -24 miesiące,43 kg;;
2692;966/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Puchówka;objęty ograniczeniami;53.923454;22.597734;30;04.06.2020;08.06.2020;17.06.2020;P/20/25449;RT-PCR+;1;padły/padłe;samiec - 24 m - 50 kg;;1
2693;967/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Wieliczki;Krupin;objęty ograniczeniami;54.020975;22.575012;30;04.06.2020;08.06.2020;17.06.2020;P/20/25449;RT-PCR+;2;padły/padłe;"samica - 1 m-c, 5 kg;                samiec - 24 m - 40 kg";2;
