NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2783;2202/141;mazowieckie;14060 Grójec;1406 grójecki;Grójec;Rytomoczydła;objęty ograniczeniami;51.808662;21.048603;32;21.06.2020;24.06.2020;29.06.2020;P/20/27351;IPT+;1;odstrzelony;1. samica - 18 m -cy, 75 kg     ;1;0;0;0;;
2784;2203/142;mazowieckie;14060 Grójec;1406 grójecki;Grójec;Rytomoczydła;objęty ograniczeniami;51.817803;21.047674;32;21.06.2020;24.06.2020;29.06.2020;P/20/27351;IPT+;1;odstrzelony;1. samiec - 18 m -cy, 50 kg     ;1;0;0;0;;
2785;2204/143;mazowieckie;14140 Nowy Dwór Mazowiecki;1408 legionowski;Jabłonna;Jabłonna;objęty ograniczeniami;52.37177;20.97252;32;24.06.2020;26.06.2020;02.07.2020;P/20/28083;IPT+;1;odstrzelony;1. samiec 24 m - 50 kg;0;0;0;0;;
2786;676;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Babimost;Kolesin ;objęty ograniczeniami;52.15563;15.74386;32;23.06.2020;26.06.2020;02.07.2020;P/20/28011;RT-PCR+;1;padły/padłe;1. samiec - 24 m - 50 kg;0;1;0;0;;
2787;677;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zabór;Przytok;zagrożenia;51.963077;15.623615;32;24.06.2020;26.06.2020;02.07.2020;P/20/28010;RT-PCR+;1;padły/padłe;1. samica - 3 m - 5 kg;1;0;0;0;;
2788;987/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Tolkmicko;Łęcze;objęty ograniczeniami;54.2743;19.4691;32;16.06.2020;23.06.2020;02.07.2020;P/20/28017;IPT+;1;odstrzelony;1. samica - 24 m - 45 kg           ;;
2789;988/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Wipsowo;zagrożenia;53.9061;20.8080;30;23.06.2020;24.06.2020;02.07.2020;P/20/28012;RT-PCR+;3;padły/padłe;"1. samica - 24 m - 70 kg,2. nieokreślona, 24 m - 30 kg,3. samica - 24 m - 70 kg";2;1
2790;989/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Studnica;zagrożenia;53.9873;20.6590;32;19.06.2020;23.06.2020;02.07.2020;P/20/28013;IPT+;1;odstrzelony;samica - 24 m - 44 kg;;
2791;990/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Studnica;zagrożenia;53.9867;20.6601;32;19.06.2020;23.06.2020;02.07.2020;P/20/28013;IPT+;1;odstrzelony;samica - 24 m - 55 kg;;
2792;991/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Górowo Iławeckie;Stega Mała;objęty ograniczeniami;54.305948;20.311828;32;21.06.2020;22.06.2020;02.07.2020;P/20/28014;IPT+;1;odstrzelony;samiec -2lata,45 kg;;
