NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2008;64;podlaskie;20030 Bielsk Podlaski;2003 bielski (podlaski);Boćki;Krasna Wieś;zagrożenia;52.640556;23.155833;32;02.04.2020;06.04.2020;16.04.2020;P/20/17069;IPT+;1;odstrzelony;samiec -13 m - 40 kg;0;0;0;0;;
2009;397;lubelskie;06090 Lublin;0663 Lublin;Lublin;Lublin;zagrożenia;51.2039;22.5171;32;01.04.2020;02.04.2020;07.04.2020;P/20/16126;RT-PCR+;1;padły/padłe;samica - 36 m - 70 kg;0;1;0;0;;
2010;398;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tarnawatka;Tarnawatka;objęty ograniczeniami;50.5296;23.3863;32;26.03.2020;30.03.2020;07.04.2020;P/20/16127;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;0;0;1;0;;
2011;399;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Ulów;zagrożenia;50.4884;23.3143;32;30.03.2020;30.03.2020;07.04.2020;P/20/16128;RT-PCR+;1;padły/padłe;samica - 36 m - 80 kg;0;1;0;0;;
2012;400;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Rachanie;Pawłówka;objęty ograniczeniami;50.5103;23.5246;32;27.03.2020;27.03.2020;07.04.2020;P/20/16129;RT-PCR+;1;padły/padłe;samica - 36 m - 120 kg;0;1;0;0;;
2013;401;lubelskie;06200 Zamość;0620 zamojski;Radecznica;Dzielce;zagrożenia;50.7058;22.8636;30;26.03.2020;31.03.2020;07.04.2020;P/20/16132;RT-PCR+;1;padły/padłe;b.d., 12 m - 30 kg;0;0;1;0;;
2014;402;lubelskie;06200 Zamość;0620 zamojski;Skierbieszów;Sławęcin;objęty ograniczeniami;50.8055;23.4118;30;31.03.2020;01.04.2020;07.04.2020;P/20/16133;RT-PCR+;1;padły/padłe;samiec - 12 m - 40 kg;1;0;0;0;;
2015;403;lubelskie;06200 Zamość;0620 zamojski;Zwierzyniec;Sochy;objęty ograniczeniami;50.5885;22.9796;30;26.03.2020;31.03.2020;07.04.2020;P/20/16133;RT-PCR+;1;padły/padłe;samiec - 12 m - 40 kg;1;0;0;0;;
2016;404;lubelskie;06200 Zamość;0620 zamojski;Skierbieszów;Łaziska;objęty ograniczeniami;50.8084;23.3935;30;31.03.2020;01.04.2020;07.04.2020;P/20/16131;RT-PCR+;1;padły/padłe;samica - 12 m - 35 kg;0;0;1;0;;
2017;405;lubelskie;06200 Zamość;0620 zamojski;Łabunie;Łabunie;objęty ograniczeniami;50.6203;23.3593;32;26.03.2020;31.03.2020;07.04.2020;P/20/16131;RT-PCR+;1;padły/padłe;samica - 36 m - 65 kg;0;0;1;0;;
